epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1142.94,nan,nan,nan,0.0299,0.04636,0.00487,0.00147,nan,nan,nan,0.000665397,0.000665397,0.000665397
2,2179.95,nan,nan,nan,0.02623,0.04305,0.00458,0.00146,nan,nan,nan,0.00127931,0.00127931,0.00127931
3,3281.99,nan,nan,nan,0.02725,0.05795,0.00521,0.00166,nan,nan,nan,0.00184043,0.00184043,0.00184043
4,4338.93,nan,nan,nan,0.02395,0.04801,0.00455,0.00139,nan,nan,nan,0.0017624,0.0017624,0.0017624
5,5467.1,nan,nan,nan,0.02854,0.04967,0.00528,0.00168,nan,nan,nan,0.0016832,0.0016832,0.0016832
6,6541.18,nan,nan,nan,0.02345,0.04801,0.00482,0.00156,nan,nan,nan,0.001604,0.001604,0.001604
7,7590.28,nan,nan,nan,0.02146,0.0447,0.0044,0.00141,nan,nan,nan,0.0015248,0.0015248,0.0015248
8,8650.71,nan,nan,nan,0.02483,0.05132,0.00448,0.0014,nan,nan,nan,0.0014456,0.0014456,0.0014456
9,9805.73,nan,nan,nan,0.02105,0.04801,0.00386,0.00125,nan,nan,nan,0.0013664,0.0013664,0.0013664
10,10995.7,nan,nan,nan,0.0281,0.05132,0.00524,0.00159,nan,nan,nan,0.0012872,0.0012872,0.0012872
11,12111.2,nan,nan,nan,0.02568,0.0447,0.00427,0.00134,nan,nan,nan,0.001208,0.001208,0.001208
12,13234.9,nan,nan,nan,0.0236,0.04801,0.00442,0.00137,nan,nan,nan,0.0011288,0.0011288,0.0011288
13,14445.6,nan,nan,nan,0.03475,0.0447,0.00567,0.00184,nan,nan,nan,0.0010496,0.0010496,0.0010496
14,15539.1,nan,nan,nan,0.03198,0.0447,0.00553,0.00171,nan,nan,nan,0.0009704,0.0009704,0.0009704
15,16678.1,nan,nan,nan,0.02865,0.03974,0.00462,0.00147,nan,nan,nan,0.0008912,0.0008912,0.0008912
16,17814.4,nan,nan,nan,0.03633,0.05795,0.00796,0.00237,nan,nan,nan,0.000812,0.000812,0.000812
17,18960.2,nan,nan,nan,0.03287,0.07119,0.00826,0.00254,nan,nan,nan,0.0007328,0.0007328,0.0007328
18,20022.1,nan,nan,nan,0.0408,0.04967,0.00907,0.00265,nan,nan,nan,0.0006536,0.0006536,0.0006536
19,21297.4,nan,nan,nan,0.04611,0.05298,0.00863,0.00246,nan,nan,nan,0.0005744,0.0005744,0.0005744
20,22421.6,nan,nan,nan,0.04086,0.05629,0.00848,0.00262,nan,nan,nan,0.0004952,0.0004952,0.0004952
21,23614.9,nan,nan,nan,0.04308,0.05795,0.00894,0.00263,nan,nan,nan,0.000416,0.000416,0.000416
22,24726.6,nan,nan,nan,0.04528,0.05629,0.00888,0.00267,nan,nan,nan,0.0003368,0.0003368,0.0003368
23,25837,nan,nan,nan,0.04127,0.05795,0.00872,0.00274,nan,nan,nan,0.0002576,0.0002576,0.0002576
24,26973.7,nan,nan,nan,0.04493,0.05298,0.00797,0.00247,nan,nan,nan,0.0001784,0.0001784,0.0001784
25,28176.8,nan,nan,nan,0.04217,0.05298,0.00868,0.00254,nan,nan,nan,9.92e-05,9.92e-05,9.92e-05
